IsoCode,Name
EN,Standard ENGLISH
en-GB,British English
nl-NL,Standard Dutch
nb-NO,NORWEGIAN
nl-BE,Belgian Dutch
fr-BE,Belgian French
de-DE,GERMAN
it-IT,ITALIAN
sv-SE,SWEDISH
fr-FR,FRENCH
en-AU,ENGLISH
fa-IR,PERSIAN
pl-PL,POLISH
lv-LV,LATVIAN
en-NZ,ENGLISH
sr-SP,Serbian
zh-CN,CHINESE
ru-RU,RUSSIAN
vi-VN,VIETNAMESE
bg-BG,BULGARIAN
kr-KR,KOREAN
ar-SA,ARABIC
el-GR,Greek
es-ES,SPANISH
de-AT,GERMAN
mn-MN,MONGOLEAN
en-GB,ENGLISH
en-CA,ENGLISH
lt-LT,LITHUANIAN
dk-DK,DANISH
de-CH,GERMAN
et-EE,ESTONIAN
cs-CZ,Czech
nn-NO,NORWEGIAN
en-US,ENGLISH
pt-BR,PORTUGUESE
fi-FI,FINNISH
ja-JP,JAPANESE
